@format:idx,R,R,P,P,P,P,tmin,tmax,rate
@common:user_Auv,user_alb,user_xi,user_AuvAv,user_rbinscale,user_rscale,user_Gstar,user_Auv_star,user_Gcomp,user_Auv_comp
299,CH,H2CO+,H2CO,CH+,,,1.00e+01,4.10e+04,3.10e-10 * (Tgas / 3.0e2)**(-0.50)
300,CH,H2O+,H2O,CH+,,,1.00e+01,4.10e+04,3.40e-10 * (Tgas / 3.0e2)**(-0.50)
301,CH,N+,N,CH+,,,1.00e+01,4.10e+04,3.60e-10 * (Tgas / 3.0e2)**(-0.50)
302,CH,N2+,N2,CH+,,,1.00e+01,4.10e+04,6.30e-10 * (Tgas / 3.0e2)**(-0.50)
303,CH,NH2+,NH2,CH+,,,1.00e+01,4.10e+04,3.50e-10 * (Tgas / 3.0e2)**(-0.50)
304,CH,O+,O,CH+,,,1.00e+01,4.10e+04,3.50e-10 * (Tgas / 3.0e2)**(-0.50)
305,CH,O2+,O2,CH+,,,1.00e+01,4.10e+04,3.10e-10 * (Tgas / 3.0e2)**(-0.50)
306,CH,OH+,OH,CH+,,,1.00e+01,4.10e+04,3.50e-10 * (Tgas / 3.0e2)**(-0.50)
307,CN+,CO2,CO2+,CN,,,1.00e+01,4.10e+04,3.00e-10
308,CN+,CO,CO+,CN,,,1.00e+01,4.10e+04,6.30e-10
309,CN+,H2CO,H2CO+,CN,,,1.00e+01,4.10e+04,5.20e-10 * (Tgas / 3.0e2)**(-0.50)
310,CN+,HCN,HCN+,CN,,,1.00e+01,4.10e+04,1.79e-09 * (Tgas / 3.0e2)**(-0.50)
311,CN+,HCO,HCO+,CN,,,1.00e+01,4.10e+04,3.70e-10 * (Tgas / 3.0e2)**(-0.50)
312,CN+,NO,NO+,CN,,,1.00e+01,4.10e+04,5.70e-10
313,CN+,O2,O2+,CN,,,1.00e+01,4.10e+04,2.58e-10
314,CN+,S,S+,CN,,,1.00e+01,4.10e+04,1.10e-09
315,CN,N2+,N2,CN+,,,1.00e+01,4.10e+04,1.00e-10 * (Tgas / 3.0e2)**(-0.50)
316,CO+,CO2,CO2+,CO,,,1.00e+01,4.10e+04,1.00e-09
317,CO+,H2CO,H2CO+,CO,,,1.00e+01,4.10e+04,1.35e-09 * (Tgas / 3.0e2)**(-0.50)
318,CO+,H2S,H2S+,CO,,,1.00e+01,4.10e+04,2.44e-09 * (Tgas / 3.0e2)**(-0.50)
319,CO+,HCO,HCO+,CO,,,1.00e+01,4.10e+04,7.40e-10 * (Tgas / 3.0e2)**(-0.50)
320,CO+,NO,NO+,CO,,,1.00e+01,4.10e+04,3.30e-10
321,CO+,O2,O2+,CO,,,1.00e+01,4.10e+04,1.20e-10
322,CO+,S,S+,CO,,,1.00e+01,4.10e+04,1.10e-09
323,CO2+,OCS,OCS+,CO2,,,1.00e+01,4.10e+04,9.60e-10
324,CO2+,SO2,SO2+,CO2,,,1.00e+01,4.10e+04,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
325,CO,N2+,N2,CO+,,,1.00e+01,4.10e+04,7.40e-11
326,CS+,Fe,Fe+,CS,,,1.00e+01,4.10e+04,1.70e-10
327,Cl+,H,Cl,H+,,,1.00e+01,4.10e+04,6.20e-11 * (Tgas / 3.0e2)**(0.79) * exp(-6920.00 / Tgas)
328,Cl,H+,Cl+,H,,,1.00e+01,4.10e+04,9.30e-11 * (Tgas / 3.0e2)**(0.73) * exp(-232.00 / Tgas)
329,H+,C10,C10+,H,,,1.00e+01,4.10e+04,4.00e-09
330,H+,C10H2,C10H2+,H,,,1.00e+01,4.10e+04,2.00e-09
331,H+,C10H,C10H+,H,,,1.00e+01,4.10e+04,4.32e-08 * (Tgas / 3.0e2)**(-0.50)
332,H+,C2,C2+,H,,,1.00e+01,4.10e+04,3.10e-09
333,H+,C2H2,C2H2+,H,,,1.00e+01,4.10e+04,5.40e-10
334,H+,C2H3,C2H3+,H,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
335,H+,C2H4,C2H4+,H,,,1.00e+01,3.00e+02,1.00e-09
336,H+,C2H5,C2H3+,H2,H,,1.00e+01,4.10e+04,3.06e-09
337,H+,C2H5OH,C2H5OH+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
338,H+,C2H,C2H+,H,,,1.00e+01,4.10e+04,1.50e-09
339,H+,C2N,C2N+,H,,,1.00e+01,3.00e+02,4.00e-09
340,H+,C2O,C2O+,H,,,1.00e+01,4.10e+04,5.13e-09 * (Tgas / 3.0e2)**(-0.50)
341,H+,C2S,C2S+,H,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
342,H+,C3,C3+,H,,,1.00e+01,4.10e+04,4.00e-09
343,H+,C3H2,C3H2+,H,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
344,H+,C3H,C3H+,H,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
345,H+,C3O,C3O+,H,,,1.00e+01,4.10e+04,9.34e-09 * (Tgas / 3.0e2)**(-0.50)
346,H+,C3S,C3S+,H,,,1.00e+01,3.00e+02,1.44e-08 * (Tgas / 3.0e2)**(-0.50)
347,H+,C4,C4+,H,,,1.00e+01,4.10e+04,4.00e-09
348,H+,C4H3,C4H3+,H,,,1.00e+01,3.00e+02,2.00e-09
349,H+,C4H,C4H+,H,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
350,H+,C4P,C4P+,H,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
351,H+,C4S,C4S+,H,,,1.00e+01,3.00e+02,1.57e-08 * (Tgas / 3.0e2)**(-0.50)
352,H+,C5,C5+,H,,,1.00e+01,3.00e+02,4.00e-09
353,H+,C5H2,C5H2+,H,,,1.00e+01,4.10e+04,1.15e-08 * (Tgas / 3.0e2)**(-0.50)
354,H+,C5H,C5H+,H,,,1.00e+01,4.10e+04,9.50e-09 * (Tgas / 3.0e2)**(-0.50)
355,H+,C6,C6+,H,,,1.00e+01,4.10e+04,4.00e-09
356,H+,C6H2,C6H2+,H,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
357,H+,C6H,C6H+,H,,,1.00e+01,4.10e+04,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
358,H+,C7,C7+,H,,,1.00e+01,3.00e+02,4.00e-09
359,H+,C7H2,C7H2+,H,,,1.00e+01,3.00e+02,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
360,H+,C7H,C7H+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
361,H+,C8,C8+,H,,,1.00e+01,3.00e+02,4.00e-09
362,H+,C8H2,C8H2+,H,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
363,H+,C8H,C8H+,H,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
364,H+,C9,C9+,H,,,1.00e+01,3.00e+02,4.00e-09
365,H+,C9H2,C9H2+,H,,,1.00e+01,3.00e+02,2.50e-09 * (Tgas / 3.0e2)**(-0.50)
366,H+,C9H,C9H+,H,,,1.00e+01,3.00e+02,3.50e-09 * (Tgas / 3.0e2)**(-0.50)
367,H+,CCP,CCP+,H,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
368,H+,CH2,CH2+,H,,,1.00e+01,4.10e+04,1.40e-09
369,H+,CH2CCH,C3H3+,H,,,1.00e+01,4.10e+04,2.00e-09
370,H+,CH2CN,CH2CN+,H,,,1.00e+01,3.00e+02,6.30e-09 * (Tgas / 3.0e2)**(-0.50)
371,H+,CH3,CH3+,H,,,1.00e+01,4.10e+04,3.40e-09
372,H+,CH3C4H,CH3C4H+,H,,,1.00e+01,3.00e+02,2.36e-09 * (Tgas / 3.0e2)**(-0.50)
373,H+,CH3C6H,C7H4+,H,,,1.00e+01,3.00e+02,2.92e-09 * (Tgas / 3.0e2)**(-0.50)
374,H+,CH3CCH,C3H4+,H,,,1.00e+01,4.10e+04,1.54e-09 * (Tgas / 3.0e2)**(-0.50)
375,H+,CH3CHO,CH3CHO+,H,,,1.00e+01,3.00e+02,3.60e-09 * (Tgas / 3.0e2)**(-0.50)
376,H+,CH3CN,CH3CN+,H,,,1.00e+01,4.10e+04,8.40e-09 * (Tgas / 3.0e2)**(-0.50)
377,H+,CH3COCH3,CH3COCH3+,H,,,1.00e+01,3.00e+02,4.00e-09 * (Tgas / 3.0e2)**(-0.50)
378,H+,CH3OCH3,CH3OCH3+,H,,,1.00e+01,3.00e+02,2.00e-09 * (Tgas / 3.0e2)**(-0.50)
379,H+,CH3OH,CH3OH+,H,,,1.00e+01,4.10e+04,5.90e-10 * (Tgas / 3.0e2)**(-0.50)
380,H+,CH4,CH4+,H,,,1.00e+01,4.10e+04,1.50e-09
381,H+,CH,CH+,H,,,1.00e+01,4.10e+04,1.90e-09 * (Tgas / 3.0e2)**(-0.50)
382,H+,CP,CP+,H,,,1.00e+01,4.10e+04,1.00e-09
383,H+,CS,CS+,H,,,1.00e+01,4.10e+04,4.90e-09 * (Tgas / 3.0e2)**(-0.50)
384,H+,Fe,Fe+,H,,,1.00e+01,4.10e+04,7.40e-09
385,H+,H2CO,H2CO+,H,,,1.00e+01,3.00e+02,2.96e-09 * (Tgas / 3.0e2)**(-0.50)
386,H+,H2CS,H2CS+,H,,,1.00e+01,4.10e+04,4.70e-09 * (Tgas / 3.0e2)**(-0.50)
387,H+,H2O,H2O+,H,,,1.00e+01,3.00e+02,6.90e-09 * (Tgas / 3.0e2)**(-0.50)
388,H+,H2S2,H2S2+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
389,H+,H2S,H2S+,H,,,1.00e+01,4.10e+04,5.28e-09 * (Tgas / 3.0e2)**(-0.50)
390,H+,H2SiO,H2SiO+,H,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
391,H+,HC2P,HC2P+,H,,,1.00e+01,4.10e+04,1.00e-09
392,H+,HC3N,HC3N+,H,,,1.00e+01,4.10e+04,4.00e-09 * (Tgas / 3.0e2)**(-0.50)
393,H+,C4H2,C4H2+,H,,,1.00e+01,4.10e+04,2.00e-09
394,H+,HC5N,HC5N+,H,,,1.00e+01,4.10e+04,1.69e-08 * (Tgas / 3.0e2)**(-0.50)
395,H+,HC4NC,HC4NC+,H,,,1.00e+01,4.10e+04,1.39e-08 * (Tgas / 3.0e2)**(-0.50)
396,H+,HC7N,HC7N+,H,,,1.00e+01,3.00e+02,1.00e-08 * (Tgas / 3.0e2)**(-0.50)
397,H+,HC9N,HC9N+,H,,,1.00e+01,3.00e+02,1.00e-08 * (Tgas / 3.0e2)**(-0.50)
398,H+,HCN,HCN+,H,,,2.05e+02,5.65e+02,1.05e-08 * (Tgas / 3.0e2)**(-0.13)
399,H+,HCO,HCO+,H,,,1.00e+01,4.10e+04,9.40e-10 * (Tgas / 3.0e2)**(-0.50)
400,H+,HCOOCH3,HCOOCH3+,H,,,1.00e+01,3.00e+02,7.06e-09 * (Tgas / 3.0e2)**(-0.50)
401,H+,HCP,HCP+,H,,,1.00e+01,4.10e+04,1.00e-09
402,H+,HCSi,HCSi+,H,,,1.00e+01,3.00e+02,1.50e-09
403,H+,HCl,HCl+,H,,,2.00e+02,5.20e+02,3.30e-09 * (Tgas / 3.0e2)**(1.00)
404,H+,HNSi,HNSi+,H,,,1.00e+01,3.00e+02,1.50e-09
405,H+,HPO,HPO+,H,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
406,H+,HS2,HS2+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
407,H+,HS,HS+,H,,,1.00e+01,4.10e+04,1.60e-09
408,H+,Mg,Mg+,H,,,1.00e+01,4.10e+04,1.10e-09
409,H+,N2O,N2O+,H,,,1.00e+01,4.10e+04,1.85e-09
410,H+,NH2,NH2+,H,,,1.00e+01,4.10e+04,2.90e-09 * (Tgas / 3.0e2)**(-0.50)
411,H+,NH3,NH3+,H,,,1.00e+01,4.10e+04,3.70e-09 * (Tgas / 3.0e2)**(-0.50)
412,H+,NH,NH+,H,,,1.00e+01,4.10e+04,2.10e-09 * (Tgas / 3.0e2)**(-0.50)
413,H+,NO,NO+,H,,,1.00e+01,3.00e+02,2.90e-09
414,H+,NS,NS+,H,,,1.00e+01,4.10e+04,4.70e-09 * (Tgas / 3.0e2)**(-0.50)
415,H+,O2,O2+,H,,,1.00e+01,3.00e+02,2.00e-09
416,H+,O,O+,H,,,1.00e+01,4.10e+04,6.86e-10 * (Tgas / 3.0e2)**(0.26) * exp(-224.30 / Tgas)
417,H+,OCS,OCS+,H,,,1.00e+01,3.00e+02,2.10e-09
418,H+,OH,OH+,H,,,1.00e+01,4.10e+04,2.10e-09 * (Tgas / 3.0e2)**(-0.50)
419,H+,P,P+,H,,,1.00e+01,3.00e+02,1.00e-09
420,H+,PH2,PH2+,H,,,1.00e+01,4.10e+04,1.00e-09
421,H+,PH,PH+,H,,,1.00e+01,4.10e+04,1.00e-09
422,H+,PN,PN+,H,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
423,H+,PO,PO+,H,,,1.00e+01,3.00e+02,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
424,H+,S2,S2+,H,,,1.00e+01,3.00e+02,3.00e-09
425,H+,S,S+,H,,,1.00e+01,4.10e+04,1.30e-09
426,H+,SO2,SO2+,H,,,1.00e+01,3.00e+02,5.78e-09 * (Tgas / 3.0e2)**(-0.50)
427,H+,SO,SO+,H,,,1.00e+01,4.10e+04,3.20e-09 * (Tgas / 3.0e2)**(-0.50)
428,H+,Si,Si+,H,,,1.00e+01,4.10e+04,9.90e-10
429,H+,SiC2,SiC2+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
430,H+,SiC2H2,SiC2H2+,H,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
431,H+,SiC2H,SiC2H+,H,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
432,H+,SiC3,SiC3+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
433,H+,SiC3H,SiC3H+,H,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
434,H+,SiC4,SiC4+,H,,,1.00e+01,3.00e+02,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
435,H+,SiC,SiC+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
436,H+,SiCH2,SiCH2+,H,,,1.00e+01,3.00e+02,1.50e-09
437,H+,SiCH3,SiCH3+,H,,,1.00e+01,3.00e+02,1.50e-09
438,H+,SiH2,SiH2+,H,,,1.00e+01,3.00e+02,1.50e-09
439,H+,SiH3,SiH3+,H,,,1.00e+01,3.00e+02,1.50e-09
440,H+,SiH4,SiH4+,H,,,1.00e+01,3.00e+02,1.50e-09
441,H+,SiH,SiH+,H,,,1.00e+01,3.00e+02,1.70e-09
442,H+,SiN,SiN+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
443,H+,SiNC,SiNC+,H,,,1.00e+01,3.00e+02,3.00e-09 * (Tgas / 3.0e2)**(-0.50)
444,H+,SiO,SiO+,H,,,1.00e+01,4.10e+04,3.30e-09 * (Tgas / 3.0e2)**(-0.50)
445,H+,SiS,SiS+,H,,,1.00e+01,4.10e+04,1.50e-09 * (Tgas / 3.0e2)**(-0.50)
446,H2+,C2,C2+,H2,,,1.00e+01,4.10e+04,1.10e-09
447,H2+,C2H2,C2H2+,H2,,,1.00e+01,4.10e+04,4.82e-09
448,H2+,C2H4,C2H4+,H2,,,1.00e+01,4.10e+04,2.21e-09
449,H2+,C2H,C2H+,H2,,,1.00e+01,4.10e+04,1.00e-09
450,H2+,CH2,CH2+,H2,,,1.00e+01,4.10e+04,1.00e-09
451,H2+,CH3CH3,CH3CH3+,H2,,,1.00e+01,4.10e+04,2.94e-10
452,H2+,CH4,CH4+,H2,,,1.00e+01,4.10e+04,1.40e-09
453,H2+,CH,CH+,H2,,,1.00e+01,4.10e+04,7.10e-10 * (Tgas / 3.0e2)**(-0.50)
454,H2+,CN,CN+,H2,,,1.00e+01,4.10e+04,1.20e-09 * (Tgas / 3.0e2)**(-0.50)
455,H2+,CO,CO+,H2,,,1.00e+01,4.10e+04,6.44e-10
456,H2+,H2CO,H2CO+,H2,,,1.00e+01,4.10e+04,1.40e-09 * (Tgas / 3.0e2)**(-0.50)
457,H2+,H2O,H2O+,H2,,,1.00e+01,4.10e+04,3.90e-09 * (Tgas / 3.0e2)**(-0.50)
458,H2+,H2S,H2S+,H2,,,1.00e+01,4.10e+04,2.70e-09 * (Tgas / 3.0e2)**(-0.50)
459,H2+,HCN,HCN+,H2,,,1.00e+01,4.10e+04,2.70e-09 * (Tgas / 3.0e2)**(-0.50)
460,H2+,HCO,HCO+,H2,,,1.00e+01,4.10e+04,1.00e-09 * (Tgas / 3.0e2)**(-0.50)
461,H2+,NH2,NH2+,H2,,,1.00e+01,4.10e+04,2.10e-09 * (Tgas / 3.0e2)**(-0.50)
462,H2+,NH3,NH3+,H2,,,1.00e+01,4.10e+04,5.70e-09 * (Tgas / 3.0e2)**(-0.50)
463,H2+,NH,NH+,H2,,,1.00e+01,4.10e+04,7.60e-10 * (Tgas / 3.0e2)**(-0.50)
464,H2+,NO,NO+,H2,,,1.00e+01,4.10e+04,1.10e-09
465,H2+,O2,O2+,H2,,,1.00e+01,4.10e+04,8.00e-10
466,H2+,OH,OH+,H2,,,1.00e+01,4.10e+04,7.60e-10 * (Tgas / 3.0e2)**(-0.50)
467,H2,F+,H2+,F,,,1.00e+01,4.10e+04,6.24e-10
468,H2,He+,He,H2+,,,1.00e+01,3.00e+02,1.00e-14
469,H2CO+,Fe,Fe+,H2CO,,,1.00e+01,4.10e+04,1.90e-09
470,H2CO+,S,S+,H2CO,,,1.00e+01,4.10e+04,5.50e-10
471,H2CO,O2+,O2,H2CO+,,,1.00e+01,4.10e+04,2.07e-09 * (Tgas / 3.0e2)**(-0.50)
472,H2O+,C2,C2+,H2O,,,1.00e+01,4.10e+04,4.70e-10
473,H2O+,C2H2,C2H2+,H2O,,,1.00e+01,4.10e+04,1.90e-09
474,H2O+,C2H4,C2H4+,H2O,,,1.00e+01,4.10e+04,1.50e-09
475,H2O+,C2H,C2H+,H2O,,,1.00e+01,4.10e+04,4.40e-10
476,H2O+,CH3CH3,CH3CH3+,H2O,,,1.00e+01,4.10e+04,6.40e-11
477,H2O+,Fe,Fe+,H2O,,,1.00e+01,4.10e+04,1.50e-09
478,H2O+,H2CO,H2CO+,H2O,,,1.00e+01,4.10e+04,1.41e-09 * (Tgas / 3.0e2)**(-0.50)
479,H2O+,H2S,H2S+,H2O,,,1.00e+01,4.10e+04,9.72e-10 * (Tgas / 3.0e2)**(-0.50)
480,H2O+,HCO,HCO+,H2O,,,1.00e+01,4.10e+04,2.80e-10 * (Tgas / 3.0e2)**(-0.50)
481,H2O+,Mg,Mg+,H2O,,,1.00e+01,4.10e+04,2.20e-09
482,H2O+,NO,NO+,H2O,,,1.00e+01,4.10e+04,2.70e-10
483,H2O+,Na,Na+,H2O,,,1.00e+01,4.10e+04,6.20e-09
484,H2O+,O2,O2+,H2O,,,1.00e+01,4.10e+04,4.60e-10
485,H2O+,OCS,OCS+,H2O,,,1.00e+01,4.10e+04,2.50e-09
486,H2O+,S,S+,H2O,,,1.00e+01,4.10e+04,4.30e-10
487,H2O+,Si,Si+,H2O,,,1.00e+01,4.10e+04,3.00e-09
488,H2O,CO+,CO,H2O+,,,1.00e+01,4.10e+04,1.72e-09 * (Tgas / 3.0e2)**(-0.50)
489,H2O,CO2+,CO2,H2O+,,,1.00e+01,4.10e+04,2.04e-09 * (Tgas / 3.0e2)**(-0.50)
490,H2O,HCN+,HCN,H2O+,,,1.00e+01,4.10e+04,1.80e-09 * (Tgas / 3.0e2)**(-0.50)
491,H2O,N2+,N2,H2O+,,,1.00e+01,4.10e+04,2.30e-09 * (Tgas / 3.0e2)**(-0.50)
492,H2O,N2O+,H2O+,N2O,,,1.00e+01,4.10e+04,1.89e-09 * (Tgas / 3.0e2)**(-0.50)
493,H2S+,Fe,Fe+,H2S,,,1.00e+01,4.10e+04,1.80e-09
494,H2S,CO2+,CO2,H2S+,,,1.00e+01,4.10e+04,1.40e-09 * (Tgas / 3.0e2)**(-0.50)
495,H2S,N2O+,H2S+,N2O,,,1.00e+01,4.10e+04,8.45e-10 * (Tgas / 3.0e2)**(-0.50)
496,H2S,OCS+,H2S+,OCS,,,1.00e+01,4.10e+04,1.40e-09 * (Tgas / 3.0e2)**(-0.50)
497,H,CN+,CN,H+,,,1.00e+01,4.10e+04,6.40e-10
498,H,CO+,CO,H+,,,1.00e+01,4.10e+04,7.50e-10
499,H,H2+,H2,H+,,,1.00e+01,4.10e+04,6.40e-10
500,H,HCN+,HCN,H+,,,1.00e+01,4.10e+04,3.70e-11
501,H,He+,He,H+,,,1.00e+01,4.10e+04,1.20e-15 * (Tgas / 3.0e2)**(0.25)
502,H,O+,O,H+,,,1.00e+01,4.10e+04,5.66e-10 * (Tgas / 3.0e2)**(0.36) * exp(--8.60 / Tgas)
503,C4H2,HC3N+,C4H2+,HC3N,,,1.00e+01,4.10e+04,8.90e-10
504,HCN+,NO,NO+,HCN,,,1.00e+01,4.10e+04,8.10e-10
505,HCN+,O2,O2+,HCN,,,1.00e+01,4.10e+04,3.20e-10
506,HCN+,S,S+,HCN,,,1.00e+01,4.10e+04,5.70e-10
507,HCN,CO+,CO,HCN+,,,1.00e+01,4.10e+04,3.40e-09 * (Tgas / 3.0e2)**(-0.50)
508,HCN,N2+,N2,HCN+,,,1.00e+01,4.10e+04,3.90e-10 * (Tgas / 3.0e2)**(-0.50)
509,HCO+,Fe,Fe+,HCO,,,1.00e+01,4.10e+04,1.90e-09
510,HCO,H2CO+,H2CO,HCO+,,,1.00e+01,4.10e+04,3.60e-10 * (Tgas / 3.0e2)**(-0.50)
511,HCO,H2S+,H2S,HCO+,,,1.00e+01,4.10e+04,7.00e-10 * (Tgas / 3.0e2)**(-0.50)
512,HCO,O2+,O2,HCO+,,,1.00e+01,4.10e+04,3.60e-10 * (Tgas / 3.0e2)**(-0.50)
513,HCO,S+,S,HCO+,,,1.00e+01,4.10e+04,3.60e-10 * (Tgas / 3.0e2)**(-0.50)
514,HCO,SiO+,SiO,HCO+,,,1.00e+01,3.00e+02,6.60e-10 * (Tgas / 3.0e2)**(-0.50)
515,HS+,Fe,Fe+,HS,,,1.00e+01,4.10e+04,1.60e-09
516,He+,C10,C10+,He,,,1.00e+01,4.10e+04,1.50e-09
517,He+,C10H,C10H+,He,,,1.00e+01,4.10e+04,1.50e-08 * (Tgas / 3.0e2)**(-0.50)
518,He+,C2,C2+,He,,,1.00e+01,4.10e+04,5.00e-10
519,He+,C2H2,C2H2+,He,,,1.00e+01,4.10e+04,2.54e-10
520,He+,C2H4,C2H4+,He,,,1.00e+01,4.10e+04,2.40e-10
521,He+,C2H5,C2H5+,He,,,1.00e+01,4.10e+04,5.00e-10
522,He+,C3N,C3N+,He,,,1.00e+01,4.10e+04,8.20e-09 * (Tgas / 3.0e2)**(-0.50)
523,He+,C,C+,He,,,1.00e+01,3.00e+02,6.30e-15 * (Tgas / 3.0e2)**(0.75)
524,He+,CH4,CH4+,He,,,1.00e+01,4.10e+04,5.10e-11
525,He+,CH,CH+,He,,,1.00e+01,4.10e+04,5.00e-10 * (Tgas / 3.0e2)**(-0.50)
526,He+,CO2,CO2+,He,,,1.00e+01,4.10e+04,1.21e-10
527,He+,H2CO,H2CO+,He,,,1.00e+01,3.00e+02,9.69e-10 * (Tgas / 3.0e2)**(-0.50)
528,He+,H2O,H2O+,He,,,1.00e+01,4.10e+04,6.05e-11 * (Tgas / 3.0e2)**(-0.50)
529,He+,H2S,H2S+,He,,,1.00e+01,4.10e+04,3.08e-10 * (Tgas / 3.0e2)**(-0.50)
530,He+,HCNO,HCNO+,He,,,1.00e+01,3.00e+02,6.27e-09 * (Tgas / 3.0e2)**(-0.50)
531,He+,HNCO,HNCO+,He,,,1.00e+01,3.00e+02,2.11e-09 * (Tgas / 3.0e2)**(-0.50)
532,He+,HONC,HONC+,He,,,1.00e+01,3.00e+02,6.27e-09 * (Tgas / 3.0e2)**(-0.50)
533,He+,N2,N2+,He,,,1.00e+01,4.10e+04,6.40e-10
534,He+,NH3,NH3+,He,,,1.00e+01,4.10e+04,2.64e-10 * (Tgas / 3.0e2)**(-0.50)
535,He+,O2,O2+,He,,,1.00e+01,4.10e+04,3.30e-11
536,He+,P,P+,He,,,1.00e+01,3.00e+02,1.00e-09
537,He+,SO2,SO2+,He,,,1.00e+01,4.10e+04,4.30e-10 * (Tgas / 3.0e2)**(-0.50)
538,He+,Si,Si+,He,,,1.00e+01,4.10e+04,3.30e-09
539,Mg,C2H2+,C2H2,Mg+,,,1.00e+01,4.10e+04,3.00e-09
540,Mg,CS+,CS,Mg+,,,1.00e+01,4.10e+04,2.70e-10
541,Mg,H2CO+,H2CO,Mg+,,,1.00e+01,4.10e+04,2.90e-09
542,Mg,H2S+,H2S,Mg+,,,1.00e+01,4.10e+04,2.80e-09
543,Mg,HCO+,HCO,Mg+,,,1.00e+01,4.10e+04,2.90e-09
544,Mg,HS+,HS,Mg+,,,1.00e+01,4.10e+04,2.60e-09
545,Mg,N2+,N2,Mg+,,,1.00e+01,4.10e+04,7.00e-10
546,Mg,NO+,NO,Mg+,,,1.00e+01,4.10e+04,8.10e-10
547,Mg,O2+,O2,Mg+,,,1.00e+01,4.10e+04,1.20e-09
548,Mg,S+,S,Mg+,,,1.00e+01,4.10e+04,2.80e-10
549,Mg,SO+,SO,Mg+,,,1.00e+01,4.10e+04,1.00e-10
550,Mg,Si+,Si,Mg+,,,1.00e+01,4.10e+04,2.90e-09
551,Mg,SiO+,SiO,Mg+,,,1.00e+01,3.00e+02,1.00e-09
552,N+,C2,C2+,N,,,1.00e+01,4.10e+04,1.00e-09
553,N+,C2H,C2H+,N,,,1.00e+01,4.10e+04,9.50e-10
554,N+,CH2,CH2+,N,,,1.00e+01,4.10e+04,1.00e-09
555,N+,CH3OH,CH3OH+,N,,,1.00e+01,4.10e+04,1.24e-09 * (Tgas / 3.0e2)**(-0.50)
556,N+,CH4,CH4+,N,,,1.00e+01,4.10e+04,2.80e-11
557,N+,CN,CN+,N,,,1.00e+01,4.10e+04,1.10e-09 * (Tgas / 3.0e2)**(-0.50)
558,N+,CO2,CO2+,N,,,1.00e+01,4.10e+04,7.50e-10
559,N+,CO,CO+,N,,,1.00e+01,4.10e+04,8.25e-10
560,N+,Fe,Fe+,N,,,1.00e+01,4.10e+04,1.50e-09
561,N+,H2CO,H2CO+,N,,,1.00e+01,4.10e+04,1.88e-09 * (Tgas / 3.0e2)**(-0.50)
562,N+,H2O,H2O+,N,,,1.00e+01,4.10e+04,2.80e-09 * (Tgas / 3.0e2)**(-0.50)
563,N+,H2S,H2S+,N,,,1.00e+01,4.10e+04,1.06e-09 * (Tgas / 3.0e2)**(-0.50)
564,N+,HCN,HCN+,N,,,1.00e+01,4.10e+04,3.70e-09 * (Tgas / 3.0e2)**(-0.50)
565,N+,HCO,HCO+,N,,,1.00e+01,4.10e+04,4.50e-10 * (Tgas / 3.0e2)**(-0.50)
